Cirurgia (c);Sala (r);Dia (d);Horário (t)
1;1;1;1
2;1;1;11
3;2;6;1
4;2;2;1
5;2;1;28
6;1;1;29
7;1;6;1
8;2;3;1
9;1;4;18
10;2;4;24
11;2;1;11
12;2;6;15
13;1;7;22
14;1;9;1
15;1;3;21
16;2;3;18
17;1;5;34
18;2;9;1
19;1;8;1
20;2;4;1
21;1;3;34
22;2;5;19
23;1;2;1
24;1;4;1
25;1;5;1
26;1;2;22
27;1;10;1
28;1;6;34
29;1;3;1
30;2;4;1
31;2;8;1
32;1;8;19
33;1;7;1
34;1;2;22
35;1;4;28
36;2;7;18
37;1;4;1
38;1;8;1
39;2;2;1
40;1;2;1
41;1;10;1
42;1;2;18
43;2;5;1
44;1;5;12
45;1;6;20
46;1;12;1
47;1;6;1
48;2;7;1
49;2;2;21
50;1;4;8
