Cirurgia (c),Sala (r),Dia (d),Horário (t)
1,2,3,21
2,1,1,14
3,1,4,20
4,3,3,21
5,1,5,18
6,2,1,16
7,1,6,1
8,2,1,38
9,2,3,1
10,3,2,30
11,3,2,18
12,1,3,1
13,3,1,1
14,2,1,30
15,2,2,1
16,1,5,1
17,2,6,1
18,1,1,38
19,1,2,1
20,1,4,1
21,2,6,12
22,3,4,1
23,3,1,21
24,2,4,1
25,1,4,35
26,2,4,22
27,3,2,1
28,1,1,24
29,1,2,29
30,1,2,40
31,1,7,1
32,2,2,28
33,1,3,19
34,2,2,36
35,3,5,1
36,1,3,27
37,3,1,34
38,3,3,1
39,1,2,1
40,3,3,31
41,2,5,1
42,2,2,13
43,1,6,16
44,3,4,13
45,3,2,38
46,1,1,1
47,2,1,1
48,3,4,25
49,3,6,1
50,1,2,20
